FeatureName,Importance
492,0.076215856
665,0.06212769
805,0.044372465
667,0.029426944
21,0.02094109
61,0.01896915
728,0.010939536
121,0.009347454
11,0.008398525
105,0.008237142
240,0.0074081435
687,0.00672653
330,0.0066884654
646,0.00665258
788,0.0064014643
305,0.00629694
704,0.0062545263
662,0.0061303047
223,0.00595328
490,0.0059064897
722,0.0058817742
183,0.0056891926
708,0.0050914544
424,0.0049263495
51,0.0048608175
47,0.0048020324
29,0.0046337913
770,0.0046156025
307,0.0045815436
756,0.004575275
151,0.004527281
721,0.0045111463
316,0.004477614
208,0.004384018
308,0.0043785083
232,0.0043466534
179,0.0043218313
200,0.004208243
840,0.004197191
277,0.004175678
65,0.0039974507
388,0.0039223745
710,0.0038703256
84,0.0038441187
453,0.0038051426
602,0.0037801866
841,0.0037668187
412,0.0037328925
444,0.0037132588
178,0.0036570542
821,0.0036362084
20,0.0036247342
97,0.0036069849
9,0.0035848946
698,0.0035728565
731,0.0035541211
832,0.0035422896
244,0.0035386237
607,0.0035207884
432,0.0035041892
783,0.0034439976
186,0.00339385
797,0.003385033
292,0.0033092876
779,0.0032951608
30,0.0032485207
346,0.0032313725
440,0.0032283764
674,0.0032259815
693,0.0032102657
691,0.0031959093
723,0.0031850853
372,0.00316902
767,0.0031251896
155,0.0030914452
515,0.003072381
335,0.0030494507
176,0.0030126947
170,0.0030003379
736,0.0029901343
343,0.0029839915
799,0.0029800101
833,0.0029663434
782,0.0029450606
754,0.0029329716
807,0.002910935
658,0.0029081067
286,0.0028398503
752,0.0028296898
683,0.0028234317
741,0.0028005606
309,0.0028001335
851,0.0027832845
201,0.0027463129
818,0.002736433
362,0.0027178626
63,0.002706518
336,0.002700985
134,0.002688632
834,0.0026854305
135,0.0026657647
25,0.0026526598
668,0.0026455584
703,0.002625983
34,0.0026193834
190,0.0026180444
392,0.002617723
172,0.0026165054
476,0.0026009507
580,0.0025980757
297,0.0025772692
62,0.0025672992
553,0.0025632484
489,0.0025632062
154,0.0025622605
60,0.002551598
344,0.0025487537
342,0.0025384629
411,0.0025197454
809,0.0025124317
815,0.0025071406
700,0.0024852362
393,0.0024791742
289,0.0024680204
181,0.002458775
217,0.0024554117
753,0.0024416961
337,0.0024152508
824,0.0024097667
816,0.0023930129
375,0.0023814477
281,0.0023318585
133,0.002302531
7,0.0022837748
689,0.0022750257
174,0.0022677574
775,0.002264806
295,0.002262377
99,0.0022600759
177,0.0022514868
467,0.0022431582
648,0.0022370936
565,0.002225776
409,0.0022232945
389,0.0022031812
520,0.0021935692
32,0.0021923466
536,0.002182615
379,0.0021732475
322,0.0021727395
509,0.0021716699
238,0.0021665639
777,0.002165586
347,0.002163509
464,0.0021602018
407,0.0021522874
224,0.002143933
837,0.0021409786
462,0.0021388594
189,0.0021383439
188,0.0021264097
609,0.0021226432
612,0.0020883554
629,0.0020872212
448,0.0020824012
677,0.0020809218
425,0.0020721676
496,0.0020699962
373,0.0020693596
161,0.0020574813
31,0.0020558548
465,0.002053039
640,0.002044459
130,0.0020419266
319,0.002034046
351,0.002017616
415,0.0020164275
202,0.0020117003
4,0.002003785
278,0.0020021468
817,0.001997532
778,0.0019880552
618,0.0019842838
651,0.0019818177
5,0.001975284
18,0.00197006
271,0.0019653307
733,0.0019648129
502,0.0019482592
167,0.0019271015
252,0.0019215208
800,0.0019179942
619,0.0019005046
3,0.0018793046
620,0.0018596323
101,0.0018302919
354,0.0018241032
491,0.0018150943
500,0.0018074826
173,0.0018059444
732,0.0018058954
442,0.0018036459
463,0.0017823713
300,0.0017785026
340,0.0017575686
426,0.0017567228
19,0.0017564655
787,0.0017500999
152,0.0017277965
455,0.0017220222
230,0.0017204494
